time,ultrasonic,pressure
23528332,111.05,1022.00
23535419,111.04,1023.00
23541833,111.16,1023.00
23546850,111.31,1023.00
23554622,111.11,1023.00
23561025,111.15,1023.00
23565159,111.13,1023.00
23570176,111.13,1023.00
23577305,111.18,1023.00
23583673,111.06,1023.00
23585730,111.08,1023.00
23590763,111.22,1023.00
23597876,111.04,1023.00
23602875,111.05,1023.00
23604948,111.24,1023.00
23609263,111.21,1023.00
23614964,111.13,1023.00
23618593,111.14,1023.00
23624311,111.18,1022.00
23631427,111.23,1023.00
23633484,111.03,1023.00
23636929,111.29,1022.00
23642647,111.11,1023.00
23647696,111.23,1022.00
23649070,111.49,1023.00
23650442,111.31,1023.00
23656142,111.40,1023.00
23661158,111.15,1022.00
23666191,111.32,1023.00
23668248,111.14,1023.00
23674651,111.46,1023.00
23676725,111.44,1023.00
23678799,111.44,1023.00
23683832,111.46,1023.00
23690979,111.41,1023.00
23694625,111.18,1023.00
23698939,111.31,1023.00
23706740,111.28,1022.00
23711054,111.13,1022.00
23718901,111.37,1022.00
23725989,111.23,1023.00
23731022,111.31,1023.00
23738110,111.38,1022.00
23743127,111.46,1023.00
23748828,111.31,1023.00
23756618,111.48,1023.00
23762354,111.49,1023.00
23768744,111.24,1023.00
23775816,111.31,1023.00
23783606,111.54,1023.00
23788622,111.31,1023.00
23794358,111.55,1023.00
23800093,111.34,1023.00
23808584,111.45,1023.00
23812714,111.50,1023.00
23818443,111.43,1023.00
23824161,111.49,1020.00
23830564,111.53,1023.00
23836266,111.38,1023.00
23844774,111.45,1022.00
23848429,111.52,1023.00
23854164,111.57,1023.00
23859849,111.39,1023.00
23870446,111.52,1023.00
23880308,111.40,1023.00
23887420,111.59,1023.00
23897298,111.44,1023.00
23906481,111.47,1022.00
23913569,111.35,1023.00
23921376,111.32,1023.00
23929183,111.38,1022.00
23939027,111.43,1022.00
23947547,111.54,1023.00
23952565,111.48,1023.00
23961741,111.39,1023.00
23970233,111.45,1023.00
23978040,111.45,1023.00
23983758,111.44,1022.00
23990846,111.71,1023.00
23998619,111.50,1023.00
24004321,111.51,1022.00
24012128,111.63,1022.00
24014887,111.49,1023.00
24021993,111.60,1023.00
24029097,111.62,1022.00
24036203,111.51,1023.00
24041912,111.53,1023.00
24048332,111.49,1022.00
24057532,111.57,1023.00
24064648,111.57,1023.00
24070384,111.64,1022.00
24078164,111.85,1023.00
24081795,111.55,1023.00
24086811,111.65,1023.00
24094602,111.63,1022.00
24101039,111.68,1023.00
24110233,111.56,1023.00
24112290,111.50,1023.00
24118711,111.76,1022.00
24126468,111.67,1023.00
24132203,111.63,1022.00
24139977,111.59,1023.00
24145695,111.61,1023.00
24153469,111.69,1023.00
